source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
133,Feuil1,傞,suo1,sa,sa,0005k,10194.120,159.17 159.25,13,傞,suo1,sa,sa,0005k,10194.120,159.17 159.25
134,Feuil1,傞,suo1,tsha,tsha,0005k,10194.120,159.17 159.25,13,傞,suo1,tsha,tsha,0005k,10194.120,159.17 159.25
135,Feuil1,瘥,cuo2,dza,dza,0005l,42686.080,160.13 165.27 384.01,20,瘥,cuo2,dza,dza,0005l,42686.080,160.13 165.27 384.01
136,Feuil1,瘥,cuo2,tsiae,tsjae,0005l,42686.080,160.13 165.27 384.01,20,瘥,cuo2,tsiae,tsjae,0005l,42686.080,160.13 165.27 384.01
137,Feuil1,鹺,cuo2,dza,dza,0005m,74611.020,160.16,6,鹺,cuo2,dza,dza,0005m,74611.020,160.16
138,Feuil1,嗟,jie1,tsiae,tsjae,0005n,10661.010,165.22,6,嗟,jie1,tsiae,tsjae,0005n,10661.010,165.22
139,Feuil1,髊,ci1,dzieH,dzjeH,0005o,74415.130,348.09,6,髊,ci1,dzieH,dzjeH,0005o,74415.130,348.09
140,Feuil1,羅,luo2,la,la,0006a,42928.050,160.50,6,羅,luo2,la,la,0006a,42928.050,160.50
141,Feuil1,蘿,luo2,la,la,0006b,53336.110,160.51,6,蘿,luo2,la,la,0006b,53336.110,160.51
142,Feuil1,戈,ge1,kwa,kwa,0007a,21397.010,161.38,6,戈,ge1,kwa,kwa,0007a,21397.010,161.38
143,Feuil1,划,hua2,ḫwae,hwae,0007e,10326.020,166.03 305.19 420.09,20,划,hua2,ḫwae,hwae,0007e,10326.020,166.03 305.19 420.09
144,Feuil1,𢦚,hua4,ḫwaeX,hwaeX,0007f,21403.080,309.21,6,𢦚,hua4,ḫwaeX,hwaeX,0007f,21403.080,309.21
145,Feuil1,禾,he2,ḫwa,hwa,0008a,42588.010,163.46,6,禾,he2,ḫwa,hwa,0008a,42588.010,163.46
146,Feuil1,和,he2,ḫwa,hwa,0008e,10602.010,163.43 420.13,13,和,he2,ḫwa,hwa,0008e,10602.010,163.43 420.13
147,Feuil1,和,he4,ḫwaH,hwaH,0008e,10602.010,163.43 420.13,13,和,he4,ḫwaH,hwaH,0008e,10602.010,163.43 420.13
148,Feuil1,龢,he2,ḫwa,hwa,0008g,74807.050,163.47,6,龢,he2,ḫwa,hwa,0008g,74807.050,163.47
149,Feuil1,盉,he2,ḫwa,hwa,0008k,42560.020,163.51 420.14,13,盉,he2,ḫwa,hwa,0008k,42560.020,163.51 420.14
150,Feuil1,科,ke1,khwa,khwa,0008n,42595.070,163.52 420.25,13,科,ke1,khwa,khwa,0008n,42595.070,163.52 420.25
151,Feuil1,臥,wo4,ṅwaH,ngwaH,0009a,42801.030,420.53,6,臥,wo4,ṅwaH,ngwaH,0009a,42801.030,420.53
152,Feuil1,朵,duo3,twaX,twaX,0010a,21155.050,305.29,6,朵,duo3,twaX,twaX,0010a,21155.050,305.29
153,Feuil1,朶,duo3,twaX,twaX,0010b,21156.080,305.30,6,朶,duo3,twaX,twaX,0010b,21156.080,305.30
154,Feuil1,隓,hui1,dwaX,dwaX,0011a,64150.010,042.34,6,隓,hui1,dwaX,dwaX,0011a,64150.010,042.34
155,Feuil1,隋,sui2,siweH,sjweH,0011b,64142.160,043.35 306.27,13,隋,sui2,siweH,sjweH,0011b,64142.160,043.35 306.27
156,Feuil1,隋,tuo3,thwaX,thwaX,0011b,64142.160,043.35 306.27,13,隋,tuo3,thwaX,thwaX,0011b,64142.160,043.35 306.27
157,Feuil1,隋,sui2,hiwieH,xjwieH,0011b,64142.160,043.35 306.27,13,隋,sui2,hiwieH,xjwieH,0011b,64142.160,043.35 306.27
158,Feuil1,橢,tuo3,thwaX,thwaX,0011c,21285.070,306.31,6,橢,tuo3,thwaX,thwaX,0011c,21285.070,306.31
159,Feuil1,嶞,duo4,dwaX,dwaX,0011d,10795.160,306.24,6,嶞,duo4,dwaX,dwaX,0011d,10795.160,306.24
160,Feuil1,墮,duo4,dwaX,dwaX,0011e,10484.030,042.35 306.11 306.30,20,墮,duo4,dwaX,dwaX,0011e,10484.030,042.35 306.11 306.30
161,Feuil1,墮,hui1,hiwie,xjwie,0011e,10484.030,042.35 306.11 306.30,20,墮,hui1,hiwie,xjwie,0011e,10484.030,042.35 306.11 306.30
162,Feuil1,隳,hui1,hiwie,xjwie,0011f,64164.020,042.36,6,隳,hui1,hiwie,xjwie,0011f,64164.020,042.36
163,Feuil1,隨,sui2,ziwe,zjwe,0011g,64156.170,043.34,6,隨,sui2,ziwe,zjwe,0011g,64156.170,043.34
164,Feuil1,髓,sui3,siweX,sjweX,0011h,74418.040,242.26,6,髓,sui3,siweX,sjweX,0011h,74418.040,242.26
165,Feuil1,瀡,sui3,siweH,sjweH,0011i,31774.080,349.27,6,瀡,sui3,siweH,sjweH,0011i,31774.080,349.27
166,Feuil1,鬌,duo3,ḍiwe,drjwe,0011j,74530.030,042.43 305.26 306.22,20,鬌,duo3,ḍiwe,drjwe,0011j,74530.030,042.43 305.26 306.22
167,Feuil1,鬌,duo3,dwaX,dwaX,0011j,74530.030,042.43 305.26 306.22,20,鬌,duo3,dwaX,dwaX,0011j,74530.030,042.43 305.26 306.22
168,Feuil1,鬌,duo3,twaX,twaX,0011j,74530.030,042.43 305.26 306.22,20,鬌,duo3,twaX,twaX,0011j,74530.030,042.43 305.26 306.22
169,Feuil1,媠,duo4,dwaH,dwaH,0011k,21064.100,306.26 421.03,13,媠,duo4,dwaH,dwaH,0011k,21064.100,306.26 421.03
170,Feuil1,媠,tuo3,thwaX,thwaX,0011k,21064.100,306.26 421.03,13,媠,tuo3,thwaX,thwaX,0011k,21064.100,306.26 421.03
171,Feuil1,惰,duo4,dwaH,dwaH,0011l,42326.110,306.20 421.02,13,惰,duo4,dwaH,dwaH,0011l,42326.110,306.20 421.02
172,Feuil1,惰,duo4,dwaX,dwaX,0011l,42326.110,306.20 421.02,13,惰,duo4,dwaX,dwaX,0011l,42326.110,306.20 421.02
173,Feuil1,坐,zuo4,dzwaH,dzwaH,0012a,10423.120,306.37 420.52,13,坐,zuo4,dzwaH,dzwaH,0012a,10423.120,306.37 420.52
174,Feuil1,坐,zuo4,dzwaX,dzwaX,0012a,10423.120,306.37 420.52,13,坐,zuo4,dzwaX,dzwaX,0012a,10423.120,306.37 420.52
175,Feuil1,痤,cuo2,dzwa,dzwa,0012b,42676.070,162.53,6,痤,cuo2,dzwa,dzwa,0012b,42676.070,162.53
176,Feuil1,挫,cuo4,tswaH,tswaH,0012c,31885.030,420.16,6,挫,cuo4,tswaH,tswaH,0012c,31885.030,420.16
177,Feuil1,蓌,cuo4,tṣaeH,tsraeH,0012d,53266.070,,0,蓌,cuo4,tṣaeH,tsraeH,0012d,53266.070,
178,Feuil1,蓌,cuo4,tswaH,tswaH,0012d,53266.070,,0,蓌,cuo4,tswaH,tswaH,0012d,53266.070,
179,Feuil1,剉,cuo4,tshwaH,tshwaH,0012e,10342.090,420.38,6,剉,cuo4,tshwaH,tshwaH,0012e,10342.090,420.38
180,Feuil1,脞,cuo3,tshwaX,tshwaX,0012f,32078.190,164.36 307.25,13,脞,cuo3,tshwaX,tshwaX,0012f,32078.190,164.36 307.25
181,Feuil1,髽,zhua1,tṣwae,tsrwae,0012g,74526.080,169.11,6,髽,zhua1,tṣwae,tsrwae,0012g,74526.080,169.11
182,Feuil1,𧴪,suo3,swaX,swaX,0013a,63625.040,306.10,6,𧴪,suo3,swaX,swaX,0013a,63625.040,306.10
183,Feuil1,瑣,suo3,swaeX,swaeX,0013b,21130.150,305.41,6,瑣,suo3,swaeX,swaeX,0013b,21130.150,305.41
184,Feuil1,瑣,suo3,swaX,swaX,0013b,21130.150,305.41,6,瑣,suo3,swaX,swaX,0013b,21130.150,305.41
